Timestamp,Symbol,Signal,Regime,Strategy,Entry_Price,SL,TP,Position_Size_USDT,Status,Exit_Price,Exit_Time,PnL_Percent,PnL_USDT,Score,ATR,Reasons,Timeframe
2025-12-25T00:12:10.543Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.3794,0.3813,0.3737,100.00,OPEN,,,,,85,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +15 pts | ✓ Liquidity zone detected",15m
2025-12-25T01:40:42.016Z,MATIC/USDT,SHORT,TRENDING,MOMENTUM,0.3794,0.3813,0.3737,100.00,OPEN,,,,,80,0.00,"✓ Bullish EMA alignment | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ MACD bearish crossover | ✓ RSI optimal (41.7) | ✓ Strong trend (ADX 38.5) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T04:36:21.474Z,BNB/USDT,SHORT,NEUTRAL,MOMENTUM,843.85,845.68,840.18,100.00,TP_HIT,840.18,2025-12-25T08:24:20.119Z,0.43,0.43,60,1.22,"✓ MACD cruce bajista | ✓ RSI óptimo (38.0) | ✓ Presión vendedora | ✓ OBV decreciente | ✓ Orderbook vendedor (Vendedor fuerte (-55.6%))",15m
2025-12-25T04:36:21.524Z,BNB/USDT,SHORT,NEUTRAL,MOMENTUM,843.85,850.30,800.00,100.00,OPEN,,,,,80,1.22,"✓ MACD bearish crossover | ✓ RSI optimal (38.0) | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Orderbook sellers (Strong sellers (-55.6%)) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T04:36:21.570Z,BNB/USDT,SHORT,NEUTRAL,MOMENTUM,843.85,850.30,800.00,100.00,OPEN,,,,,80,1.22,"✓ MACD bearish crossover | ✓ RSI optimal (38.0) | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Orderbook sellers (Strong sellers (-55.6%)) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T04:36:21.991Z,BNB/USDT,SHORT,NEUTRAL,MOMENTUM,843.85,850.30,800.00,100.00,OPEN,,,,,80,1.22,"✓ MACD bearish crossover | ✓ RSI optimal (38.0) | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Orderbook sellers (Strong sellers (-53.2%)) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T04:47:16.236Z,BNB/USDT,SHORT,NEUTRAL,MOMENTUM,843.50,850.30,800.00,100.00,OPEN,,,,,80,1.16,"✓ MACD bearish crossover | ✓ RSI optimal (36.7) | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Orderbook sellers (Strong sellers (-77.2%)) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T07:24:15.953Z,LTC/USDT,LONG,NEUTRAL,MOMENTUM,76.52,76.23,77.10,100.00,TP_HIT,77.10,2025-12-25T08:04:14.644Z,0.76,0.76,65,0.19,"✓ MACD cruce alcista | ✓ RSI óptimo (60.8) | ✓ Tendencia fuerte (ADX 25.2) | ✓ Presión compradora | ✓ OBV creciente | ✓ Tendencia fuerte (ADX 25.2)",15m
2025-12-25T07:39:08.266Z,ETH/USDT,SHORT,NEUTRAL,MOMENTUM,2939.93,2945.83,2928.13,100.00,TP_HIT,2928.13,2025-12-25T08:24:24.024Z,0.40,0.40,65,3.93,"✓ RSI óptimo (43.6) | ✓ OBV creciente | ✓ Alineación bajista de EMAs | ✓ MACD cruce bajista | ✓ RSI óptimo (43.6) | ✓ Presión vendedora",15m
2025-12-25T07:39:08.606Z,ETH/USDT,SHORT,NEUTRAL,MOMENTUM,2939.93,2954.63,2908.46,100.00,SL_HIT,2954.63,2025-12-25T18:03:31.438Z,-0.50,-0.50,85,3.93,"✓ RSI optimal (43.6) | ✓ OBV rising | ✓ Bearish EMA alignment | ✓ MACD bearish crossover | ✓ RSI optimal (43.6) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T07:39:09.560Z,ETH/USDT,SHORT,NEUTRAL,MOMENTUM,2939.93,2954.63,2908.46,100.00,SL_HIT,2954.63,2025-12-25T18:03:32.264Z,-0.50,-0.50,85,3.93,"✓ RSI optimal (43.6) | ✓ OBV rising | ✓ Bearish EMA alignment | ✓ MACD bearish crossover | ✓ RSI optimal (43.6) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T07:39:09.578Z,ETH/USDT,SHORT,NEUTRAL,MOMENTUM,2939.93,2954.63,2908.46,100.00,SL_HIT,2954.63,2025-12-25T18:03:33.396Z,-0.50,-0.50,85,3.93,"✓ RSI optimal (43.6) | ✓ OBV rising | ✓ Bearish EMA alignment | ✓ MACD bearish crossover | ✓ RSI optimal (43.6) | ✓ Selling pressure (DMI) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
